minutes,hour,date,Variables,Mean_Values
5,13,2021-01-15T13:05:10Z,Temperature,29.41
5,13,2021-01-15T13:05:20Z,Depth,0.377
5,13,2021-01-15T13:05:20Z,Salinity,33.77525994
5,13,2021-01-15T13:05:20Z,Temperature,29.41
5,13,2021-01-15T13:05:30Z,Depth,0.356
5,13,2021-01-15T13:05:30Z,Salinity,33.78839204
5,13,2021-01-15T13:05:30Z,Temperature,29.41
5,13,2021-01-15T13:05:40Z,Depth,0.371
5,13,2021-01-15T13:05:40Z,Salinity,33.79117538
5,13,2021-01-15T13:05:40Z,Temperature,29.35
5,13,2021-01-15T13:05:50Z,Depth,0.375
5,13,2021-01-15T13:05:50Z,Salinity,33.85138195
5,13,2021-01-15T13:05:50Z,Temperature,29.33
6,10,2021-01-15T10:06:00Z,Depth,0.262
6,10,2021-01-15T10:06:00Z,Salinity,34.12934987
6,10,2021-01-15T10:06:00Z,Temperature,29.19
6,10,2021-01-15T10:06:10Z,Depth,0.288
6,10,2021-01-15T10:06:10Z,Salinity,34.09932282
6,10,2021-01-15T10:06:10Z,Temperature,29.19
6,10,2021-01-15T10:06:20Z,Depth,0.254
6,10,2021-01-15T10:06:20Z,Salinity,34.10403877
6,10,2021-01-15T10:06:20Z,Temperature,29.16
6,10,2021-01-15T10:06:30Z,Depth,0.259
6,10,2021-01-15T10:06:30Z,Salinity,34.11356513
6,10,2021-01-15T10:06:30Z,Temperature,29.17
6,10,2021-01-15T10:06:40Z,Depth,0.273
6,10,2021-01-15T10:06:40Z,Salinity,34.09031431
6,10,2021-01-15T10:06:40Z,Temperature,29.17
6,10,2021-01-15T10:06:50Z,Depth,0.235
6,10,2021-01-15T10:06:50Z,Salinity,34.0860303
6,10,2021-01-15T10:06:50Z,Temperature,29.19
6,11,2021-01-15T11:06:00Z,Depth,0.302
6,11,2021-01-15T11:06:00Z,Salinity,33.59106662
6,11,2021-01-15T11:06:00Z,Temperature,29.22
6,11,2021-01-15T11:06:10Z,Depth,0.317
6,11,2021-01-15T11:06:10Z,Salinity,33.57705916
6,11,2021-01-15T11:06:10Z,Temperature,29.24
6,11,2021-01-15T11:06:20Z,Depth,0.269
6,11,2021-01-15T11:06:20Z,Salinity,33.6008061
6,11,2021-01-15T11:06:20Z,Temperature,29.22
6,11,2021-01-15T11:06:30Z,Depth,0.293
6,11,2021-01-15T11:06:30Z,Salinity,33.61712893
6,11,2021-01-15T11:06:30Z,Temperature,29.22
6,11,2021-01-15T11:06:40Z,Depth,0.288
6,11,2021-01-15T11:06:40Z,Salinity,33.59977499
6,11,2021-01-15T11:06:40Z,Temperature,29.24
6,11,2021-01-15T11:06:50Z,Depth,0.326
6,11,2021-01-15T11:06:50Z,Salinity,33.59158228
6,11,2021-01-15T11:06:50Z,Temperature,29.21
6,12,2021-01-15T12:06:00Z,Depth,0.255
6,12,2021-01-15T12:06:00Z,Salinity,33.94470506
6,12,2021-01-15T12:06:00Z,Temperature,29.03
6,12,2021-01-15T12:06:10Z,Depth,0.27
6,12,2021-01-15T12:06:10Z,Salinity,33.93183807
6,12,2021-01-15T12:06:10Z,Temperature,29.09
6,12,2021-01-15T12:06:20Z,Depth,0.306
6,12,2021-01-15T12:06:20Z,Salinity,33.955503
6,12,2021-01-15T12:06:20Z,Temperature,29.08
6,12,2021-01-15T12:06:30Z,Depth,0.299
6,12,2021-01-15T12:06:30Z,Salinity,33.9267666
6,12,2021-01-15T12:06:30Z,Temperature,29.06
6,12,2021-01-15T12:06:40Z,Depth,0.284
6,12,2021-01-15T12:06:40Z,Salinity,33.96211445
6,12,2021-01-15T12:06:40Z,Temperature,29.08
6,12,2021-01-15T12:06:50Z,Depth,0.287
6,12,2021-01-15T12:06:50Z,Salinity,33.96309195
6,12,2021-01-15T12:06:50Z,Temperature,29.06
6,13,2021-01-15T13:06:00Z,Depth,0.354
